Model,Threshold,Accuracy,Precision,Recall,F1_Score,ROC_AUC
RANDOM FOREST,0.44999999999999996,0.9,0.9956521739130435,0.698170731707317,0.8207885304659498,0.8693152947154472
XGBOOST,0.5999999999999999,0.9,0.9956521739130435,0.698170731707317,0.8207885304659498,0.8672555531358885
