Model,Accuracy,Precision,Recall,F1_Score,ROC_AUC
Random Forest,0.9155,0.9976635514018691,0.7176470588235294,0.8347996089931574,0.8774245641317026
XGBoost,0.9155,0.9840909090909091,0.7277310924369748,0.8367149758454107,0.8696145219653699
