Threshold,Accuracy,Precision,Recall,F1_Score
0.2,0.881,0.8287292817679558,0.7563025210084033,0.7908611599297012
0.25,0.898,0.8981670061099797,0.7411764705882353,0.8121546961325967
0.3,0.908,0.9381663113006397,0.7394957983193278,0.8270676691729323
0.35,0.9135,0.9647577092511013,0.7361344537815127,0.8350810295519543
0.4,0.915,0.9775280898876404,0.7310924369747899,0.8365384615384616
0.45,0.916,0.9863325740318907,0.7277310924369748,0.8375241779497099
0.5,0.9185,0.9976958525345622,0.7277310924369748,0.8415937803692906
0.55,0.918,0.9976905311778291,0.7260504201680672,0.8404669260700389
0.6,0.918,0.9976905311778291,0.7260504201680672,0.8404669260700389
0.65,0.918,0.9976905311778291,0.7260504201680672,0.8404669260700389
0.7,0.918,1.0,0.7243697478991596,0.8401559454191033
0.75,0.918,1.0,0.7243697478991596,0.8401559454191033
0.8,0.917,1.0,0.7210084033613445,0.837890625
